edad,sexo,nivel_socioeconomico,rendimiento_previo,asistencia_previa,distancia_escuela,rollout_score,tratado,participa_programa,intensidad_tutorias,tiempo_abandono_meses,evento_abandono,abandono_12m
15,0,0.08182935854756501,47.54333390165152,67.92978352142785,0.2872284392387655,0.7228392039002123,1,1,5.934966888661221,12.0,0,0
16,0,-0.09888965319114267,67.83771157898636,69.24687606950762,6.128329215016036,0.03248659669016496,0,0,0.0,5.0,1,1
14,0,0.9190764829877686,66.27597331333025,96.76393027208204,0.15088206304784618,0.5952768411040545,1,1,4.089838954577827,12.0,0,0
16,0,-0.29027454418865134,81.02397889419645,70.54493120057269,0.44402193569794857,0.5391937941273144,0,0,0.0,6.0,1,1
16,0,0.26739231407190295,69.75675138804209,68.46649489404041,0.8548765618147648,0.9688146905778044,1,1,6.695084071861817,12.0,0,0
13,0,0.3216978061960136,37.45379547360273,91.37314542364729,1.9364044817977946,0.48421313934764165,0,0,0.0,12.0,0,0
14,0,-0.6680904536430488,75.77921426584378,83.38552876285914,1.5740415606941272,0.06360143637779736,0,0,0.0,12.0,0,0
14,1,0.9920423495365228,45.02909059028381,70.620744234636,0.2685341661563596,0.5516879678064617,1,1,6.590979162058411,12.0,0,0
14,0,-0.17495975669540864,54.24043092071473,82.16624975404619,0.684214521647208,0.8410961706161014,1,1,5.161343544519533,12.0,0,0
16,1,-0.7557451594928447,63.75300309377542,69.74247316359723,0.545591573021044,0.9968492842814399,1,1,5.687185634775632,10.0,1,1
15,0,0.5365098435704035,89.93501234675946,91.00821398422605,0.4804340911186651,0.4303431736890725,1,1,10.513622189266385,12.0,0,0
14,1,-0.8984679817910373,106.64877834008041,90.61370964873133,1.0591483576150997,0.3202987424967425,0,0,0.0,1.0,1,1
17,0,0.028181157369128247,69.10084588704274,85.32006198821944,2.4350041781190717,0.9066532969519989,0,0,0.0,10.0,1,1
16,0,-0.009118996644203544,57.25205071919418,83.61661061247017,0.4904024157113892,0.19124212907612137,1,1,3.8525955796005897,11.0,1,1
13,1,1.085895565831578,68.01758472720826,97.61188124867374,0.9135553728463964,0.6154289150329266,1,1,6.200202007552766,12.0,0,0
15,1,0.4746982328799528,73.31483138810754,79.99686327388225,0.991602864707454,0.4057144241809477,1,1,5.482669270944272,12.0,0,0
17,1,-0.025026958745143917,55.189985616642126,68.181258745792,7.497813510733513,0.041082364955555284,0,0,0.0,5.0,1,1
17,0,0.8177662992002871,86.92817033868484,84.49473912832306,6.187411696775183,0.34728847430569776,0,0,0.0,12.0,0,0
13,0,1.3902075490173134,63.45106138787103,100.0,3.220252125831439,0.2652285225026746,0,0,0.0,12.0,0,0
15,1,0.5578103063518622,67.46614633637091,69.85240506814148,0.5532440440259808,0.6860911539434869,1,1,6.215559846289577,8.0,1,1
16,1,0.010352619843380607,69.98886378081693,76.38537233306015,0.14092500335415165,0.9487904976919181,0,0,0.0,1.0,1,1
12,1,-1.3118362323501596,66.32379915921683,84.16446038101452,0.7622401490638577,0.26804718737863775,0,0,0.0,12.0,0,0
15,1,-1.0651136630753726,72.58410750704418,79.4609515099426,0.6206586582047245,0.8114659391516817,1,0,0.0,12.0,0,0
13,0,-0.30522470435466764,50.741202201796156,70.17696419622686,1.410139141881239,0.05535981693840952,0,0,0.0,7.0,1,1
17,1,-0.6095122021592831,51.62547369080954,91.21857856230471,3.0077060345126205,0.5381210100398132,1,1,7.857056510057644,12.0,0,0
16,0,-0.186971302985446,43.497686505424575,100.0,3.9084100575952863,0.07055006370989458,0,0,0.0,4.0,1,1
15,0,0.056649924897107164,66.59251845930339,81.96131459023907,3.726907355936044,0.9340329911306393,1,1,9.698384874336018,12.0,0,0
12,0,0.5296927543567308,71.6840475526817,70.95931710264,0.8915605909758006,0.7663512805573902,1,1,6.687144978608987,12.0,0,0
12,1,-0.07049877805909122,66.86659299227829,64.51039474946525,2.324602140022015,0.6579499112045923,1,1,4.500893160429079,12.0,0,0
14,0,0.4865016438262019,85.11738650021306,82.5797598122118,0.7503593462375231,0.8238963816246643,1,1,10.0205696005718,12.0,0,0
14,0,0.06447441481012024,59.9160597175643,91.03877343316258,0.12567842379845262,0.6475197955701631,0,0,0.0,12.0,0,0
13,1,-1.9754665663538713,70.03112483388769,84.75167746495381,2.4184080305836444,0.9689443971742911,0,0,0.0,6.0,1,1
15,0,-0.9393353938187543,43.624486857910284,79.97596159081147,0.01975232339850701,0.7139579478647715,1,1,6.95119166120095,12.0,0,0
15,1,-0.14408755572161547,54.193504462883986,74.10728348210694,1.052496511880298,0.9246586095822468,1,1,11.234619458461077,12.0,0,0
17,0,-1.2096947428411076,70.43306636348666,69.07836367281911,0.799103063543024,0.517131892010638,1,1,2.0602238809015887,12.0,0,0
17,0,0.5999287299962045,72.73653166114715,88.34751326324883,2.364276110682943,0.11706441298186265,0,0,0.0,12.0,0,0
17,1,1.5307508323436974,55.59049578503726,89.13771621385585,2.9069674862617174,0.5281777214230171,0,0,0.0,12.0,0,0
14,0,1.2187618516973167,58.926011222129,64.54270213309266,0.7250831982315024,0.1268728280630933,0,0,0.0,12.0,1,1
15,0,-0.213442870930208,37.231893799787855,95.89838978180684,3.3386626317882704,0.592493479176405,0,0,0.0,10.0,1,1
15,0,1.490726136849952,54.64456198790086,85.74071220894001,0.6960442909427753,0.48249306052766294,1,1,6.83828562414963,12.0,0,0
12,0,0.14866745720211155,73.35574745279679,93.99594645145794,1.1823597265391956,0.6225753978327817,1,1,10.704938861250762,12.0,0,0
14,1,-0.33708597111803934,68.6280752415985,66.57872251514885,2.5967027012414303,0.010046981054831594,0,0,0.0,12.0,0,0
16,0,-0.6134026635409398,67.50998582071814,66.34175844584561,2.3612954509774964,0.1948404916553641,0,0,0.0,12.0,0,0
14,1,-0.30246968648812833,60.746605307714404,78.51030690232703,8.74311878572798,0.4913304319121309,0,0,0.0,2.0,1,1
16,0,-0.38817681854122876,60.105947379422645,85.02784426895194,0.510200088796951,0.9505035615891348,1,1,7.144982413891088,12.0,0,0
12,1,0.1704162223754877,50.09518290789829,97.96360822926964,2.171300797434813,0.3836090403551584,1,1,5.6998402743962036,7.0,1,1
13,1,0.1605739810498646,70.48242630303803,87.06078913815132,1.881586504979661,0.42437202605363467,1,1,6.864139461341581,12.0,0,0
15,1,0.0030460201534144695,66.31459416584084,77.57318723187967,4.932525963887901,0.7146960890066222,1,1,6.0264966292499516,4.0,1,1
12,0,0.43693816974634986,67.380282719892,69.73630792334107,0.34006390848935697,0.603792757286118,1,1,6.1872344077528885,10.0,1,1
15,0,1.1906462747863413,52.10947735998629,92.3000057271915,2.787026014628955,0.29892615009833323,0,0,0.0,12.0,0,0
17,0,0.9495541354413237,27.699856201931333,70.35294574249285,1.6799033621046973,0.4108163955674278,0,0,0.0,12.0,0,0
13,1,-1.4848979684499035,76.45729067630543,96.28468554772321,0.6422457220740379,0.21769979885723245,0,0,0.0,4.0,1,1
13,1,-2.553921134901955,52.81743815987394,77.1561535039349,1.2865624824775455,0.9660214591302085,1,1,7.222434189007819,12.0,0,0
12,1,0.9343199112392737,47.058363539353195,95.9058207261785,0.8122604497079458,0.13063438155735974,0,0,0.0,9.0,1,1
13,0,-1.366878698415421,70.4021836787099,86.78931290059279,1.7317342943941452,0.37183678456641944,0,0,0.0,12.0,0,0
16,1,-0.22476540189268354,54.11981040121306,78.63004510557542,4.396461161039542,0.02583897222001119,0,0,0.0,12.0,0,0
13,1,-1.1701130260593595,75.89904576069932,74.80603628173873,1.6847101196117045,0.2217794919335464,0,0,0.0,12.0,0,0
15,0,-1.8019804375800197,69.25508924365046,76.59092122653921,1.9978366542547987,0.7804711383801549,1,1,6.086571946287719,12.0,0,0
15,0,0.541462728204788,70.25353984800716,84.28316692375238,1.4627278397245456,0.20117523228887946,0,0,0.0,12.0,0,0
15,1,0.7591551603026468,39.51066433199199,80.77156496217717,0.10504179294545081,0.0800634025289656,1,1,7.697903307988016,12.0,0,0
15,1,-0.5765104007267194,78.179159780796,74.06188591931294,0.5301681675278442,0.4744531798445233,0,0,0.0,12.0,0,0
16,1,-2.59104229214491,63.91875796850784,78.34368589682367,1.3545544716066276,0.009969234734518495,0,0,0.0,12.0,0,0
